elev_id,line,station_renamed,alt_svc_text,alt_svc_text_140,alt_elev_ids,parent_stop_id,elev_type
308,O ,SULLIVAN - Northbound Platform to Paid Lobby,,,n/a,place-sull,Escalator
309,O,WELLINGTON - Southbound Platform to Paid Lobby,,,n/a,place-welln,Escalator
310,O,WELLINGTON - Northbound Platform to Paid Lobby,,,n/a,place-welln,Escalator
311,O,MALDEN CTR. - Paid lobby to Platform,,,n/a,place-mlmnl,Escalator
312,O,MALDEN CTR. - Commuter Rail to Street Level,,,n/a,place-mlmnl,Escalator
313,G,HAYMARKET - Lobby to Garage,,,n/a,place-haecl,Escalator
315,G,HYNES CONVENTION CTR - Outbound Platform to Mass Ave,,,n/a,place-hymnl,Escalator
320,G,PARK STREET - Green Line Southbound to Street,,,n/a,place-pktrm,Escalator
322,R,JFK - Ashmont Platform to Columbia Rd,,,n/a,place-jfk,Escalator
325,R,NORTH QUINCY - Platform (South end) to Paid lobby,,,n/a,place-nqncy,Escalator
326,R,NORTH QUINCY - Platform (North end) to Paid lobby,,,n/a,place-nqncy,Escalator
327,R,NORTH QUINCY - Hancock St to Unpaid Lobby,,,n/a,place-nqncy,Escalator
329,R,WOLLASTON - Paid Lobby to Platform,,,n/a,place-wlsta,Escalator
330,R,QUINCY CENTER - Platform to Paid Lobby,,,n/a,place-qnctr,Escalator
331,R,DOWNTOWN XING - Red Line Southbound Platform to Orange Line Northbound Plat,,,n/a,place-dwnxg,Escalator
332,R,DOWNTOWN XING - Red Line Northbound Platform to Orange Line Northbound Plat,,,n/a,place-dwnxg,Escalator
333,R,BRAINTREE - Busway to OH Walkway/Garage,,,n/a,place-brntn,Escalator
334,R,BRAINTREE - Paid Lobby to Platform,,,n/a,place-brntn,Escalator
335,R,BRAINTREE - Paid Lobby to Platform,,,n/a,place-brntn,Escalator
336,R,DAVIS SQUARE - Landing to College Ave,,,n/a,place-davis,Escalator
337,R,DAVIS SQUARE - Landing to College Ave,,,n/a,place-davis,Escalator
338,R,DAVIS SQUARE - Lobby to ground level,,,n/a,place-davis,Escalator
339,R,DAVIS SQUARE - Lobby to ground level,,,n/a,place-davis,Escalator
340,R,DAVIS SQUARE - Red Line Platform to Paid Lobby,,,n/a,place-davis,Escalator
341,R,DAVIS SQUARE - Red Line Platform to Paid Lobby,,,n/a,place-davis,Escalator
342,R,DAVIS SQUARE - Unpaid Lobby to Holland Street,,,n/a,place-davis,Escalator
343,R,DAVIS SQUARE - Unpaid Lobby to Holland Street,,,n/a,place-davis,Escalator
344,R,QUINCY ADAMS - Paid Lobby to Platform,,,n/a,place-qamnl,Escalator
345,R,QUINCY ADAMS - Paid Lobby to Platform,,,n/a,place-qamnl,Escalator
346,R,QUINCY ADAMS - Unpaid Lobby to Garage/2nd floor,,,n/a,place-qamnl,Escalator
347,R,QUINCY ADAMS - Garage 2nd floor to 4th floor,,,n/a,place-qamnl,Escalator
348,R,QUINCY ADAMS - Garage 4th floor to 2nd floor,,,n/a,place-qamnl,Escalator
349,R,ALEWIFE - Red Line Platform to Russell Field,,,n/a,place-alfcl,Escalator
350,R,ALEWIFE - Red Line Platform to Russell Field,,,n/a,place-alfcl,Escalator
351,R,ALEWIFE - Red Line Platform to Concourse ,,,n/a,place-alfcl,Escalator
352,R,ALEWIFE - Red Line Platform to Concourse ,,,n/a,place-alfcl,Escalator
353,R,ALEWIFE - Concourse to Bus Berths 7 - 11,,,n/a,place-alfcl,Escalator
354,R,ALEWIFE - Concourse to Garage Level 3,,,n/a,place-alfcl,Escalator
355,R,ALEWIFE - Garage Level 2 to Level 4,,,n/a,place-alfcl,Escalator
356,R,ALEWIFE - Garage Level 2 to Level 5,,,n/a,place-alfcl,Escalator
357,R,ALEWIFE - Garage Level 2 to Level 6,,,n/a,place-alfcl,Escalator
359,R,CENTRAL - Inbound Platform to Street,,,n/a,place-cntsq,Escalator
360,R,CENTRAL - Outbound Platform to Street,,,n/a,place-cntsq,Escalator
361,R,KENDALL - Inbound Platform to Street,,,n/a,place-knncl,Escalator
362,R,KENDALL - Outbound Platform to Street,,,n/a,place-knncl,Escalator
364,O,DOWNTOWN XING - Northbound Platform / Franklin St,,,n/a,place-dwnxg,Escalator
365,O,DOWNTOWN XING - Southbound Platform / Washington St,,,n/a,place-dwnxg,Escalator
366,O,CHINATOWN - Southbound Platform to Street,,,n/a,place-chncl,Escalator
367,R,BROADWAY - Platform to Lobby,,,n/a,place-brdwy,Escalator
372,R,BROADWAY - Lobby to Street,,,n/a,place-brdwy,Escalator
373,R,PARK STREET - Red Line Northbound Platform To Tremont Street,,,n/a,place-pktrm,Escalator
374,O,STATE STREET - Northbound Platform to Lobby City Hall,,,n/a,place-state,Escalator
375,R,PARK STREET - Red Line Southbound Platform To Tremont Street,,,n/a,place-pktrm,Escalator
377,O,CHINATOWN - Northbound Platform to Washington Street,,,n/a,place-chncl,Escalator
378,B,BEACHMONT - Inbound Paid Lobby to Platform,,,n/a,place-bmmnl,Escalator
379,B,BEACHMONT - Inbound Paid Lobby to Platform,,,n/a,place-bmmnl,Escalator
380,B,WOOD ISLAND - Eastbound Platform to Overpass,,,n/a,place-wimnl,Escalator
382,R,SOUTH STATION - Inbound Platform to Federal Reserve,,,n/a,place-sstat,Escalator
383,R,NORTH QUINCY - Newport Ave to Lobby,,,n/a,place-nqncy,Escalator
384,O,NO. STATION - Concourse to Canal Street ,,,n/a,place-north,Escalator
385,O,NO. STATION - Canal St to Concourse ,,,n/a,place-north,Escalator
386,R,SOUTH STATION - Lobby to One Financial Center,,,n/a,place-sstat,Escalator
387,R,SOUTH STATION - One Financial center to Lobby,,,n/a,place-sstat,Escalator
388,R,SOUTH STATION - 2nd Level to CSA Area,,,n/a,place-sstat,Escalator
389,R,SOUTH STATION - Outbound Platform to CSA Area,,,n/a,place-sstat,Escalator
390,R,SOUTH STATION - Outbound Platform to 2nd Level Lobby,,,n/a,place-sstat,Escalator
391,O,NO. STATION - Orange Line Inbound Platform to Green Line Platform & Mezzanine,,,n/a,place-north,Escalator
392,O,NO. STATION - Inbound Platform to Green Line Platform & Mezzanine,,,n/a,place-north,Escalator
393,O,NO. STATION - Outbound Platform to Mezzanine ,,,n/a,place-north,Escalator
394,B,AQUARIUM - Outbound Platform to Mezzanine,,,n/a,place-aqucl,Escalator
395,B,AQUARIUM - Inbound Platform to Mezzanine,,,n/a,place-aqucl,Escalator
396,B,AQUARIUM - Mezz to 1st Landing,,,n/a,place-aqucl,Escalator
397,B,AQUARIUM - 1st Landing to Street,,,n/a,place-aqucl,Escalator
398,R,SOUTH STATION - Inbound Platform to Transitway,,,n/a,place-sstat,Escalator
399,R,SOUTH STATION - Transitway to Lobby,,,n/a,place-sstat,Escalator
400,R,SOUTH STATION - Southbound Platform to Mezzanine,,,n/a,place-sstat,Escalator
401,S,WORLD TRADE CENTER - Mezzanine to Viaduct,,,n/a,place-wtcst,Escalator
402,S,WORLD TRADE CENTER - Lobby to Mezzanine,,,n/a,place-wtcst,Escalator
403,S,WORLD TRADE CENTER - Inbound Platform to Lobby,,,n/a,place-wtcst,Escalator
404,S,WORLD TRADE CENTER - Outbound Platform to Lobby,,,n/a,place-wtcst,Escalator
405,B,AQUARIUM - Unpaid Lobby to Street,,,n/a,place-aqucl,Escalator
406,B,AQUARIUM - Street to Unpaid Lobby,,,n/a,place-aqucl,Escalator
407,B,AIRPORT - Mezzanine to Outbound Platform,,,n/a,place-aport,Escalator
408,B,AIRPORT - Outbound Platform to Mezzanine,,,n/a,place-aport,Escalator
409,B,AIRPORT - Mezzanine to Inbound Platform,,,n/a,place-aport,Escalator
410,B,AIRPORT - Inbound Platform to Mezzanine,,,n/a,place-aport,Escalator
411,S,SOUTH STATION - Silver Line Outbound to Lobby,,,n/a,place-sstat,Escalator
412,S,COURTHOUSE - Lobby to Mezzanine,,,n/a,place-crtst,Escalator
413,S,COURTHOUSE - Mezzanine to Street,,,n/a,place-crtst,Escalator
414,S,COURTHOUSE - Inbound Platform to Lobby,,,n/a,place-crtst,Escalator
415,S,COURTHOUSE - Outbound Platform to Lobby,,,n/a,place-crtst,Escalator
416,S,COURTHOUSE - Inbound Platform to Lobby South,,,n/a,place-crtst,Escalator
417,S,COURTHOUSE - Outbound to Lobby South,,,n/a,place-crtst,Escalator
418,S,COURTHOUSE - Lobby to Street West End,,,n/a,place-crtst,Escalator
419,S,SOUTH STATION - Silver Line Inbound to Lobby,,,n/a,place-sstat,Escalator
420,S,SOUTH STATION - Red Line Inbound to Silver Line,,,n/a,place-sstat,Escalator
421,G,NORTH STATION - Passageway Lobby to Street,,,n/a,place-north,Escalator
422,G,NORTH STATION - Passageway Street to Lobby,,,n/a,place-north,Escalator
423,R,SAVIN HILL STATION - Platform to Paid Lobby,,,n/a,place-shmnl,Escalator
424,R,SOUTH STATION - Lobby to Street,,,n/a,place-sstat,Escalator
425,R,CHARLES/MGH - Lobby to Inbound Platform,,,n/a,place-chmnl,Escalator
426,R,CHARLES/MGH - Lobby to Outbound Platform,,,n/a,place-chmnl,Escalator
427,R,FIELDS CORNER - Inbound Platform to Paid Lobby,,,n/a,place-fldcr,Escalator
428,B,MAVERICK - Unpaid Lobby to Street,,,n/a,place-mvbcl,Escalator
429,B,MAVERICK - Street to Unpaid Lobby,,,n/a,place-mvbcl,Escalator
430,G,KENMORE - Mezzanine to Busway,,,n/a,place-kencl,Escalator
431,G,KENMORE - Outbound Platform to Mezzanine,,,n/a,place-kencl,Escalator
432,G,KENMORE - Inbound Platform to Mezzanine,,,n/a,place-kencl,Escalator
433,B,MAVERICK - Unpaid Lobby to Street,,,n/a,place-mvbcl,Escalator
434,B,MAVERICK - Street to Unpaid Lobby,,,n/a,place-mvbcl,Escalator
435,G,ARLINGTON - Inbound Platform to Paid Mezzanine,,,n/a,place-armnl,Escalator
436,G,ARLINGTON - Outbound Platform to Paid Mezzanine,,,n/a,place-armnl,Escalator
437,R,ASHMONT - Southbound Platform to Busway at Peabody Square,,,n/a,place-asmnl,Escalator
438,R,ASHMONT - Southbound Platform to CSA and Busway,,,n/a,place-asmnl,Escalator
439,G,COPLEY Unpaid lobby to Street (Outbound),,,n/a,place-coecl,Escalator
440,B,ORIENT HEIGHTS - Bennington Inbound Paid West Platform,,,n/a,place-orhte,Escalator
441,B,ORIENT HEIGHTS - Winthrop Outbound Busway East Platform,,,n/a,place-orhte,Escalator
442,O,ASSEMBLY - North Entrance to North Lobby,,,n/a,place-astao,Escalator
443,O,ASSEMBLY - Platform to North Lobby,,,n/a,place-astao,Escalator
444,G,GOVERNMENT CENTER - Street Level to Green Line,,,n/a,place-gover,Escalator
445,G,GOVERNMENT CENTER - Street Level to Green Line,,,n/a,place-gover,Escalator
446,B,GOVERNMENT CENTER - Blue Line to Green Line,,,n/a,place-gover,Escalator
501,O,STATE STREET - Northbound Platform To Blue Line Northbound ,,,n/a,place-state,Escalator
502,O,STATE STREET - Blue Line Northbound to Paid Lobby,,,n/a,place-state,Escalator
503,G,PRUDENTIAL - Street to Mezzanine,,,n/a,place-prmnl,Escalator
504,R,PORTER SQUARE - Lobby to Mass Ave,,,n/a,place-portr,Escalator
505,R,PORTER SQUARE - Lobby to Mass Ave,,,n/a,place-portr,Escalator
506,R,PORTER SQUARE - Outbound platform (South end) to Inbound Platform,,,n/a,place-portr,Escalator
507,R,PORTER SQUARE - Outbound Plat (North end) to Inbound Platform,,,n/a,place-portr,Escalator
509,R,PORTER SQUARE - Mezzanine to Paid Lobby,,,n/a,place-portr,Escalator
510,R,PORTER SQUARE - Mezzanine to Paid Lobby,,,n/a,place-portr,Escalator
511,R,PORTER SQUARE - Mezzanine to Paid Lobby,,,n/a,place-portr,Escalator
512,R,HARVARD - Level 2 to Street,,,n/a,place-harsq,Escalator
513,R,HARVARD - Level 2 to Street,,,n/a,place-harsq,Escalator
514,R,HARVARD - Paid Lobby to Level 3,,,n/a,place-harsq,Escalator
515,R,HARVARD - Lobby to Level 3,,,n/a,place-harsq,Escalator
516,R,HARVARD - Church St Lobby to Outbound Platform,,,n/a,place-harsq,Escalator
523,O,STATE STREET - Southbound Lobby to Milk/Wash St,,,n/a,place-state,Escalator
701,B,WONDERLAND - Inbound Platform/ Street to Garage,Please use elevator 702 or 703.,Wonderland Elevator 701  (platform/street to garage) is not working.  Use elevators 702 or 703.,,place-wondl,Elevator
702,B,WONDERLAND - Inbound Platform/ Street to Garage,Please use elevator 701 or 703.,Wonderland Elevator 702 (platform/street to garage) is not working.  Use elevators 701 or 703.,,place-wondl,Elevator
703,B,WONDERLAND - Inbound Platform/ Street to Garage,Please use elevator 701 or 702.,Wonderland Elevator 703  (platform/street to garage) is not working.  Use elevators 701 or 702.,,place-wondl,Elevator
708,B,WONDERLAND - Unpaid Lobby to Crosswalk, Use walkway @ Wonderland for access between lobby & crosswalk.,Use walkway @ Wonderland for access between lobby & crosswalk.,,place-wondl,Elevator
709,B,WONDERLAND - Plaza to Inbound Platform,Use ramp to elevator 708.,Wonderland elevator 709 (plaza to inbound platform) is not working. Use ramp to elevator 708.,708,place-wondl,Elevator
710,B,WONDERLAND - Plaza to Outbound Platform,Use ramp to elevator 708.,Wonderland elevator 710 (plaza to outbound platform) is not working. Use ramp to elevator 708.,708,place-wondl,Elevator
711,B,WONDERLAND - Plaza to Ocean Blvd,Use elevator 710.,Wonderland elevator 711 (plaza to Ocean Blvd) is not working. Use elevator 710.,710,place-wondl,Elevator
712,B,ORIENT HEIGHTS - Bennington Paid Lobby to Outbound Platform,Please use elevator 713 in unpaid lobby.,Orient Heights Elevator 712 (Bennington Paid Lobby to Outbound Platform) is not working. Please use elevator 713 in unpaid lobby.,"713, 714, 715",place-orhte,Elevator
713,B,ORIENT HEIGHTS - Bennington Unpaid Lobby to Winthrop Busway Unpaid,Please use elevator 712 in paid lobby.,Orient Heights Elevator 713 (Bennington Unpaid Lobby to Winthrop Busway) is not working. Please use elevator 712 in paid lobby.,"712, 714, 715",place-orhte,Elevator
714,B,ORIENT HEIGHTS - Winthrop Busway Paid to Inbound Platform,Please use elevator 715 in unpaid lobby.,Orient Heights Elevator 714 (Winthrop Busway Paid to Inbound Platform) is not working. Please use elevator 715 in unpaid lobby.,"712, 713, 715",place-orhte,Elevator
715,B,ORIENT HEIGHTS - Winthrop Busway Unpaid to Bennington Unpaid,Please use elevator 714 in paid lobby.,Orient Heights Elevator 715 (Winthrop Busway to Bennington) is not working. Please use elevator 714 in paid lobby.,"712, 713, 714",place-orhte,Elevator
716,O,ASSEMBLY - North Entrance to North Lobby,"If exiting the station, please use Assembly Elevator 719 located at the opposite end of the platform.",Assembly Elevator 716 (lobby to Foley St) is not working. Use Assembly Elevators 719 (south platform) and 718 (Revolution Rd).,"718, 719",place-astao,Elevator
717,O,ASSEMBLY - Platform to North Lobby,"If exiting the station, please use Assembly Elevator 719 located at the opposite end of the platform. Take Assembly Elevator 718 from the lobby to the entrance at Revolution Dr.\nIf entering the station, please use Assembly Elevator 718 located at the entrance at Revolution Dr. Take Elevator 719 from the lobby to the south end of the platform.",Assembly Elevator 717 (lobby to north platform) is not working. Use Assembly Elevators 719 (south platform) and 718 (Revolution Rd).,"718, 719",place-astao,Elevator
718,O,ASSEMBLY - South Entrance to South Lobby,"If exiting the station, please use Assembly elevator 717 located at the opposite end of the platform.  Take Assembly elevator 716 from the lobby to the  entrance at Foley St.\nIf entering the station, please use Assembly elevator 716 located at the entrance at Foley St. Take elevator 717 from the lobby to the north end of the platform.",Assembly Elevator 718 (lobby to Revolution Rd) is not working. Use Assembly Elevators 717 (north platform) and 716 (Foley St).,"716, 717",place-astao,Elevator
719,O,ASSEMBLY - Platform to South Lobby,"If exiting the station, please use Assembly Elevator 717 located at the opposite end of the platform.  Take Assembly Elevator 716 from the lobby to the entrance at Foley St.\nIf entering the station, please use Assembly Elevator 716 located at the entrance at Foley St. Take Elevator 717 from the lobby to the north end of the platform.",Assembly Elevator 719 (lobby to south platform) is not working. Use Assembly Elevators 717 (north platform) and 716 (Foley St).,"716, 717",place-astao,Elevator
800,O,OAK GROVE - Lobby to Main Busway/Street,"Customers desiring elevator service to exit at Oak Grove must exit the train at Malden Center and see station personnel for further assistance. Customer desiring elevator service to enter the station should utilize the call box for further assistance. Alternatively, use Bus Routes 132, 136, or 137 to connect between Oak Grove and Malden Center.",Oak Grove Elevator 800 (lobby to street and buses) is not working. See www.mbta.com for alt service.  ,"944, 945",place-ogmnl,Elevator
720,G,GOVERNMENT CENTER - Street Level to Green Line,Please use adjacent Government Center Elevator 721.,Government Center Elevator 720 (lobby to Green Line platform) is not working. Use Government Center Elevator 721.,721,place-gover,Elevator
721,G,GOVERNMENT CENTER - Street Level to Green Line,Please use adjacent Government Center Elevator 720.,Government Center Elevator 721 (lobby to Green Line platform) is not working. Use Government Center Elevator 720.,720,place-gover,Elevator
722,B,GOVERNMENT CENTER - Green Line to Blue Line,Please use adjacent Government Center Elevator 723.,Government Center Elevator 722 (Green Line platform to Blue Line platform) is not working. Use Government Center Elevator 723.,723,place-gover,Elevator
723,B,GOVERNMENT CENTER - Green Line to Blue Line,Please use adjacent Government Center Elevator 722.,Government Center Elevator 723 (Green Line platform to Blue Line platform) is not working. Use Government Center Elevator 722.,722,place-gover,Elevator
801,O,OAK GROVE - Orange Line Platform to Lobby,"Customers desiring elevator service to exit at Oak Grove must exit the train at Malden Center and see station personnel for further assistance. Customer desiring elevator service to enter the station should utilize the call box system for further assistance. Alternatively, use Bus Routes 132, 136, or 137 to connect between Oak Grove and Malden Center.",Oak Grove Elevator 801 (Orange Line platform to lobby) is not working. See www.mbta.com for alt service.,"944, 945",place-ogmnl,Elevator
802,O,STATE STREET - Oak Grove Platform to Forest Hills and Wonderland Platforms,Please use adjacent State Street Elevator 967.,State Street Elevator 802 (Oak Grove Orange Line platform to lobby) is not working. Use adjacent State Street Elevator 967.,802,place-state,Elevator
803,O,"STATE STREET - Forest Hills Platform to Milk, School, & Washington Sts","Please use State Street Elevator 975 at the Wonderland Blue Line lobby (53 State Street). Alternatively, if exiting, take the Orange Line to Downtown Crossing and exit to Washington Street via Downtown Crossing Elevator 892. Turn left on Washington Street and travel one-third of a mile to Washington, School, and Milk Streets.","State Street Elevator 803 (lobby to Washington, Milk, and School Streets) is not working. See www.mbta.com for alt service.","975, 892",place-state,Elevator
804,G,PARK STREET - Lechmere Platform & Lobby to Tremont & Winter Sts,Use Park St Elev 892 @ Winter & Washington Sts or Elev 978 on Boston Common.,Park Street Elevator 804 (lobby to Winter and Tremont Streets) is not working. Use Park St Elev 892 @ Winter & Washington Sts or Elev 978 on Boston Common.,"892, 978",place-pktrm,Elevator
805,R,QUINCY ADAMS - Red Line Platform to Lobby,"If exiting the Red Line, exit at Quincy Center and see station personnel for assistance. If boarding at Quincy Adams, use the call box or see station personnel for assistance. Alternatively, use Bus Route 238 to connect between Quincy Adams and Quincy Center.",Quincy Adams Elevator 805 (Red Line platform) is not working. See www.mbta.com for alt service.  ,"871, 896",place-qamnl,Elevator
806,R,QUINCY ADAMS - Lobby to Parking Garage,Customers should use adjacent Quincy Adams Elevator 807.,Quincy Adams Elevator 806 (parking garage to lobby) is not working. See www.mbta.com for alt service.,807,place-qamnl,Elevator
807,R,QUINCY ADAMS - Lobby to Parking Garage,Customers should use adjacent Quincy Adams Elevator 806.,Quincy Adams Elevator 807 (parking garage to lobby) is not working. Please use adjacent Quincy Adams Elevator 806.,806,place-qamnl,Elevator
808,R,PARK STREET - Red Line Platform to Lobby/Winter St Concourse,"Use Elevator 979 connecting Red Line center platform to Green Line west, & add'l elevator to street","Park Street Elevator 808 (Red Line platform to lobby) is not working. Use Elevator 979 connecting Red Line center platform to Green Line west, & add'l elevator to street","869, 870, 101 Arch",place-pktrm,Elevator
810,R,QUINCY CENTER - Red Line Platform to Lobby/Busway,"Use Bus Routes 210, 211, 212, or 215 for connections between Quincy Center and North Quincy.",Quincy Center Elevator 810 (Red Line platform to lobby) is not working. See www.mbta.com for alt service.,"805, 806",place-qnctr,Elevator
811,R,BRAINTREE - Red Line Platform to Lobby,"If exiting the Red Line, exit at Quincy Adams and see station personnel for assistance. If boarding at Braintree, use the call box or see station personnel for assistance. Alternatively, use Bus Routes 230 or 236 to connect between Braintree and Quincy Center.",Braintree Elevator 811 (Red Line platform) is not working. Contact station personnel for a shuttle to and from Quincy Adams.,"805, 806, 807",place-brntn,Elevator
812,G,PARK STREET - Green Line Underpass @ Track 4 to Lechmere,Use Elevs 978 & 804 at street to switch btwn Green Line platforms.,Park Street Elevator 812 (Green Line underpass to Lechmere track 4) is not working. Use Elevs 978 & 804 at street to switch btwn Green Line platforms.,"804, 978",place-pktrm,Elevator
813,R,ALEWIFE - Platform to Main Lobby,Use Elevator 961 at the opposite end of the platform/lobby.,Alewife Elevator 813 (platform to lobby) is not working. Use Alewife Elevator 961 (platform to Russell Field lobby).,961,place-alfcl,Elevator
814,R,ALEWIFE - Main Lobby to Parking Garage,Please use the adjacent Alewife Elevator 815.,Alewife Elevator 814 (lobby to parking garage) is not working. Use adjacent Alewife Elevator 815 (lobby to parking garage).,815,place-alfcl,Elevator
815,R,ALEWIFE - Main Lobby to Parking Garage,Please use the adjacent Alewife Elevator 814.,Alewife Elevator 815 (lobby to parking garage) is not working. Use adjacent Alewife Elevator 814 (lobby to parking garage).,814,place-alfcl,Elevator
816,R,DAVIS - Platform to Lobby,"If exiting at Davis Square, exit the Red Line at Harvard Square and take the Route 96 bus service to Davis Square or ask station personnel for assistance. If boarding at Davis Square, take the Route 96 bus service to Harvard Square and board the Red Line.",Davis Square Elevator 816 (platform to lobby) is not working. See www.mbta.com for alt service.,"821, 973",place-davis,Elevator
817,R,DAVIS - Lobby to Street,"If exiting at Davis Square, exit the Red Line at Harvard Square and take the Route 96 bus service to Davis Square or ask station personnel for assistance. If boarding at Davis Square, take the Route 96 bus service to Harvard Square and board the Red Line.",Davis Square Elevator 817 (lobby to street) is not working. See www.mbta.com for alt service.,"821, 973",place-davis,Elevator
821,R,HARVARD - Main Lobby to Harvard Square,Please use Harvard Square Elevator 973 at end of upper busway (Brattle Square at Brattle and Mount Auburn Streets).,Harvard Sq Elevator 821 (lobby to street) is not working. Use Harvard Sq Elevator 973 at end of upper busway (Brattle Sq).,973,place-harsq,Elevator
823,G,PARK STREET - Green Line Underpass @ Tracks #1&2 Westbound, Use Elevs 978 & 804 at street to go btwn Green Line platforms.,Park Street Elevator 823 (Green Line underpass to westbound tracks 1 & 2) is not working. Use Elevs 978 & 804 at street to switch btwn Green Line platforms.,"804, 978",place-pktrm,Elevator
830,R,JFK/UMASS - Braintree Bound Platform to Lobby,"If exiting the station, take the Red Line to JFK/UMass via an Ashmont-bound train and use JFK/UMass Elevator 831. If coming from Quincy/Braintree, continue on the Red Line to Andrew. At Andrew, take an Ashmont-bound train to JFK/UMass and use JFK/UMass Elevator 831.  \nIf boarding, take an Alewife-bound train to Andrew. At Andrew, board a Braintree-bound train.",JFK/UMass Elevator 830 (Braintree-bound platform to lobby) is not working. See www.mbta.com for alt service.  ,"831, 880, 879, 872",place-jfk,Elevator
831,R,JFK/UMASS - Ashmont Bound Platform to Lobby,"If exiting the station, take the Red Line to JFK/UMass via a Braintree-bound train and use JFK/UMass Elevator 830. For customers coming from Ashmont, continue on the Red Line to Andrew. At Andrew, take a Braintree-bound train to JFK/UMass and use JFK/UMass Elevator 830.\nIf boarding, take an Alewife-bound train to Andrew. At Andrew, board an Ashmont-bound train.",JFK/UMass Elevator 831 (Ashmont-bound platform to lobby) is not working. See www.mbta.com for alt service.  ,"830, 880, 879, 872",place-jfk,Elevator
