trip_id,trip_property_id,value
60112151,trip_type,wait
60112236,note,Waits at Mattapan for last Mattapan Trolley train
60112236,trip_type,wait
60112240,note,Waits at Ruggles for last Orange Line train
60112240,trip_type,wait
60112622,note,Waits at Back Bay for last Orange Line train
60112622,trip_type,wait
60113032,note,Waits at South Station for last Red Line train
60113032,trip_type,wait
60113378,note,Does not run during school vacation
60113378,trip_type,supplemental
60113379,note,Does not run during school vacation
60113379,trip_type,supplemental
60113380,note,Does not run during school vacation
60113380,trip_type,supplemental
60113581,note,Waits at South Station for last Red Line train
60113581,trip_type,wait
60140752,note,Waits at Magazine St @ Green St for last Red Line train
60140752,trip_type,wait
60140853,note,Waits at Lechmere for last Green Line train
60140853,trip_type,wait
60141008,note,Waits at Lechmere for last Green Line train
60141008,trip_type,wait
60141072,note,Waits at Lechmere for last Green Line train
60141072,trip_type,wait
60141224,note,Waits at Harvard for last Red Line train
60141224,trip_type,wait
60141401,note,Waits at Green St @ Magazine St for last Red Line train
60141401,trip_type,wait
60141562,note,Waits at Harvard for last Red Line train
60141562,trip_type,wait
60141563,note,Waits at Harvard for last Red Line train
60141563,trip_type,wait
60141733,note,Waits at Harvard for last Red Line train
60141733,trip_type,wait
60141856,note,Waits at Lechmere for last Green Line train
60141856,trip_type,wait
60142031,note,Waits at Magazine St @ Green St for last Red Line train
60142031,trip_type,wait
60142742,note,Waits at Harvard for last Red Line train
60142742,trip_type,wait
60142842,note,Waits at Green St @ Magazine St for last Red Line train
60142842,trip_type,wait
60142940,note,Waits at Harvard for last Red Line train
60142940,trip_type,wait
60143137,note,Waits at Harvard for last Red Line train
60143137,trip_type,wait
60143185,note,Waits at Lechmere for last Green Line train
60143185,trip_type,wait
60143201,note,Waits at Lechmere for last Green Line train
60143201,trip_type,wait
60143368,note,Waits at Magazine St @ Green St for last Red Line train
60143368,trip_type,wait
60143376,note,Waits at Lechmere for last Green Line train
60143376,trip_type,wait
60143916,note,Does not run during school vacation
60143916,trip_type,supplemental
60143928,note,Waits at Mt Auburn St @ Story St for last Red Line train
60143928,trip_type,wait
60144051,note,Waits at Mt Auburn St @ Story St for last Red Line train
60144051,trip_type,wait
60144271,note,Does not run during school vacation
60144271,trip_type,supplemental
60144285,note,Does not run during school vacation
60144285,trip_type,supplemental
60144442,note,Waits at Lechmere for last Green Line train
60144442,trip_type,wait
60144451,note,Does not run during school vacation
60144451,trip_type,supplemental
60144469,note,Waits at Lechmere for last Green Line train
60144469,trip_type,wait
60144575,note,Waits at Lechmere for last Green Line train
60144575,trip_type,wait
60144649,note,Waits at Magazine St @ Green St for last Red Line train
60144649,trip_type,wait
60144901,note,Waits at Lechmere for last Green Line train
60144901,trip_type,wait
60144960,note,Does not run during school vacation
60144960,trip_type,supplemental
60145069,note,Does not run during school vacation
60145069,trip_type,supplemental
60145120,note,Waits at Harvard for last Red Line train
60145120,trip_type,wait
60145167,note,Waits at Main St @ Kendall Station - Red Line for last Red Line train
60145167,trip_type,wait
60145189,note,Does not run during school vacation
60145189,trip_type,supplemental
60145250,note,Waits at Green St @ Magazine St for last Red Line train
60145250,trip_type,wait
60145496,note,Does not run during school vacation
60145496,trip_type,supplemental
60145675,note,Waits at Harvard for last Red Line train
60145675,trip_type,wait
60165996,note,Does not run during school vacation
60165996,trip_type,supplemental
60166001,note,Does not run during school vacation
60166001,trip_type,supplemental
60166292,note,Does not run during school vacation
60166292,trip_type,supplemental
60166293,note,Does not run during school vacation
60166293,trip_type,supplemental
60166294,note,Does not run during school vacation
60166294,trip_type,supplemental
60167732,note,Waits at Andrew for last Red Line train
60167732,trip_type,wait
60167760,note,Does not run during school vacation
60167760,trip_type,supplemental
60167826,note,Does not run during school vacation
60167826,trip_type,supplemental
60167855,note,Does not run during school vacation
60167855,trip_type,supplemental
60167939,note,Waits at Ashmont for last Red Line train
60167939,trip_type,wait
60167983,note,Waits at W Broadway @ Broadway Station for last Red Line train
60167983,trip_type,wait
60168082,note,Does not run during school vacation
60168082,trip_type,supplemental
60168083,note,Does not run during school vacation
60168083,trip_type,supplemental
60168084,note,Does not run during school vacation
60168084,trip_type,supplemental
60168085,note,Does not run during school vacation
60168085,trip_type,supplemental
60168086,note,Does not run during school vacation
60168086,trip_type,supplemental
60168150,note,Waits at Massachusetts Ave @ Pearl St for last Red Line train
60168150,trip_type,wait
60168225,note,Waits at W Broadway @ Broadway Station for last Red Line train
60168225,trip_type,wait
60168226,note,Waits at Boylston St @ Dartmouth St for last Green Line train
60168226,trip_type,wait
60168242,note,Does not run during school vacation
60168242,trip_type,supplemental
60168447,note,Does not run during school vacation
60168447,trip_type,supplemental
60168449,note,Does not run during school vacation
60168449,trip_type,supplemental
60168452,note,Does not run during school vacation
60168452,trip_type,supplemental
60168453,note,Does not run during school vacation
60168453,trip_type,supplemental
60168456,note,Does not run during school vacation
60168456,trip_type,supplemental
60168458,note,Does not run during school vacation
60168458,trip_type,supplemental
60168459,note,Does not run during school vacation
60168459,trip_type,supplemental
60168461,note,Does not run during school vacation
60168461,trip_type,supplemental
60168464,note,Does not run during school vacation
60168464,trip_type,supplemental
60168539,note,Does not run during school vacation
60168539,trip_type,supplemental
60168553,note,Does not run during school vacation
60168553,trip_type,supplemental
60168561,note,Does not run during school vacation
60168561,trip_type,supplemental
60168649,note,Waits at Nubian for last Silver Line bus
60168649,trip_type,wait
60168650,note,Waits at Nubian for last Silver Line bus
60168650,trip_type,wait
60168657,note,Does not run during school vacation
60168657,trip_type,supplemental
60168739,note,Waits at Forest Hills for last Orange Line train
60168739,trip_type,wait
60168771,note,Does not run during school vacation
60168771,trip_type,supplemental
60168815,note,Does not run during school vacation
60168815,trip_type,supplemental
60168959,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
60168959,trip_type,wait
60169058,note,Waits at Massachusetts Ave @ Holyoke St for last Red Line train
60169058,trip_type,wait
60169147,note,Does not run during school vacation
60169147,trip_type,supplemental
60169176,note,Does not run during school vacation
60169176,trip_type,supplemental
60169236,note,Does not run during school vacation
60169236,trip_type,supplemental
60169237,note,Does not run during school vacation
60169237,trip_type,supplemental
60169238,note,Does not run during school vacation
60169238,trip_type,supplemental
60169240,note,Does not run during school vacation
60169240,trip_type,supplemental
60169241,note,Does not run during school vacation
60169241,trip_type,supplemental
60169242,note,Does not run during school vacation
60169242,trip_type,supplemental
60169253,note,Does not run during school vacation
60169253,trip_type,supplemental
60169256,note,Does not run during school vacation
60169256,trip_type,supplemental
60169257,note,Does not run during school vacation
60169257,trip_type,supplemental
60169282,note,Does not run during school vacation
60169282,trip_type,supplemental
60169363,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
60169363,trip_type,wait
60169560,note,Does not run during school vacation
60169560,trip_type,supplemental
60169572,note,Does not run during school vacation
60169572,trip_type,supplemental
60169574,note,Does not run during school vacation
60169574,trip_type,supplemental
60169751,note,Waits at Ruggles for last Orange Line train
60169751,trip_type,wait
60169752,note,Waits at Ruggles for last Orange Line train
60169752,trip_type,wait
60169753,note,Waits at Ruggles for last Orange Line train
60169753,trip_type,wait
60169754,note,Waits at Ruggles for last Orange Line train
60169754,trip_type,wait
60169837,note,Does not run during school vacation
60169837,trip_type,supplemental
60169862,note,Does not run during school vacation
60169862,trip_type,supplemental
60169890,note,Does not run during school vacation
60169890,trip_type,supplemental
60169912,note,Does not run during school vacation
60169912,trip_type,supplemental
60169913,note,Does not run during school vacation
60169913,trip_type,supplemental
60169922,note,Does not run during school vacation
60169922,trip_type,supplemental
60169923,note,Does not run during school vacation
60169923,trip_type,supplemental
60170137,note,Waits at Kenmore for last Green Line train
60170137,trip_type,wait
60176063,note,Waits at Forest Hills for last Orange Line train
60176063,trip_type,wait
60176418,note,Waits at Ashmont for last Red Line train
60176418,note,Waits at Mattapan for last Mattapan Trolley train
60176418,trip_type,wait
60176521,note,Waits at Forest Hills for last Orange Line train
60176521,trip_type,wait
60176708,note,Waits at Forest Hills for last Orange Line train
60176708,trip_type,wait
60177060,note,Waits at Ashmont for last Red Line train
60177060,trip_type,wait
60177092,note,Waits at Forest Hills for last Orange Line train
60177092,trip_type,wait
60177365,note,Waits at Forest Hills for last Orange Line train
60177365,trip_type,wait
60177603,note,Waits at Forest Hills for last Orange Line train
60177603,trip_type,wait
60177681,note,Waits at Forest Hills for last Orange Line train
60177681,trip_type,wait
60177932,note,Waits at Forest Hills for last Orange Line train
60177932,trip_type,wait
60311297,note,Waits at Harvard for last Red Line train
60311297,trip_type,wait
60311298,note,Does not run during school vacation
60311298,trip_type,supplemental
60311484,note,Does not run during school vacation
60311484,trip_type,supplemental
60311599,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
60311599,trip_type,wait
60311848,note,Waits at Sullivan Square for last Orange Line train
60311848,trip_type,wait
60311849,note,Waits at Sullivan Square for last Orange Line train
60311849,trip_type,wait
60311850,note,Waits at Sullivan Square for last Orange Line train
60311850,trip_type,wait
60311896,note,Waits at Wellington for last Orange Line train
60311896,trip_type,wait
60311897,note,Waits at Wellington for last Orange Line train
60311897,trip_type,wait
60312193,note,Waits at Wellington for last Orange Line train
60312193,trip_type,wait
60312210,note,Waits at Malden Center for last Orange Line train
60312210,trip_type,wait
60312417,note,Does not run during school vacation
60312417,trip_type,supplemental
60312458,note,Does not run during school vacation
60312458,trip_type,supplemental
60312470,note,Waits at Wellington for last Orange Line train
60312470,trip_type,wait
60314738,note,Does not run during school vacation
60314738,trip_type,supplemental
60314754,note,Does not run during school vacation
60314754,trip_type,supplemental
60314765,note,Does not run during school vacation
60314765,trip_type,supplemental
60314780,note,Does not run during school vacation
60314780,trip_type,supplemental
60314868,note,Does not run during school vacation
60314868,trip_type,supplemental
60314894,note,Does not run during school vacation
60314894,trip_type,supplemental
60314905,note,Does not run during school vacation
60314905,trip_type,supplemental
60314916,note,Does not run during school vacation
60314916,trip_type,supplemental
60314940,note,Does not run during school vacation
60314940,trip_type,supplemental
60314943,note,Does not run during school vacation
60314943,trip_type,supplemental
60314948,note,Does not run during school vacation
60314948,trip_type,supplemental
60314949,note,Does not run during school vacation
60314949,trip_type,supplemental
60314952,note,Does not run during school vacation
60314952,trip_type,supplemental
60314967,note,Does not run during school vacation
60314967,trip_type,supplemental
60314968,note,Does not run during school vacation
60314968,trip_type,supplemental
60314975,note,Does not run during school vacation
60314975,trip_type,supplemental
60314977,note,Does not run during school vacation
60314977,trip_type,supplemental
60314982,note,Does not run during school vacation
60314982,trip_type,supplemental
60314987,note,Does not run during school vacation
60314987,trip_type,supplemental
60315056,note,Does not run during school vacation
60315056,trip_type,supplemental
60315091,note,Does not run during school vacation
60315091,trip_type,supplemental
60315125,note,Does not run during school vacation
60315125,trip_type,supplemental
60315126,note,Does not run during school vacation
60315126,trip_type,supplemental
60318230,note,Waits at Wellington for last Orange Line train
60318230,trip_type,wait
60318388,note,Waits at Sullivan Square for last Orange Line train
60318388,trip_type,wait
60318457,note,Waits at Wellington for last Orange Line train
60318457,trip_type,wait
60318490,note,Waits at Sullivan Square for last Orange Line train
60318490,trip_type,wait
60318561,note,Waits at Sullivan Square for last Orange Line train
60318561,trip_type,wait
60318953,note,Waits at Sullivan Square for last Orange Line train
60318953,trip_type,wait
60318994,note,Waits at Harvard for last Red Line train
60318994,trip_type,wait
60319157,note,Waits at Malden Center for last Orange Line train
60319157,trip_type,wait
60319158,note,Waits at Wellington for last Orange Line train
60319158,trip_type,wait
60319333,note,Waits at Sullivan Square for last Orange Line train
60319333,trip_type,wait
60319364,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
60319364,trip_type,wait
60319483,note,Waits at Wellington for last Orange Line train
60319483,trip_type,wait
60321262,note,Waits at Sullivan Square for last Orange Line train
60321262,trip_type,wait
60321350,note,Waits at Malden Center for last Orange Line train
60321350,trip_type,wait
60321557,note,Waits at Sullivan Square for last Orange Line train
60321557,trip_type,wait
60321750,note,Waits at Sullivan Square for last Orange Line train
60321750,trip_type,wait
60321951,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
60321951,trip_type,wait
60321989,note,Waits at Wellington for last Orange Line train
60321989,trip_type,wait
60322027,note,Waits at Harvard for last Red Line train
60322027,trip_type,wait
60392680,note,Waits at South Station for last Silver Line bus
60392680,note,Waits at Downtown Crossing for last Orange Line train
60392680,note,Waits at Park Street for last Green Line train
60392680,trip_type,wait
60392683,note,Waits at Park Street for last Green Line train
60392683,note,Waits at Downtown Crossing for last Orange Line train
60392683,trip_type,wait
60450617,note,Waits at Ashmont for last Red Line train
60450617,note,Waits at Mattapan for last Mattapan Trolley train
60450617,trip_type,wait
60450916,note,Waits at Forest Hills for last Orange Line train
60450916,trip_type,wait
60451476,note,Waits at Ashmont for last Red Line train
60451476,trip_type,wait
60451492,note,Waits at Forest Hills for last Orange Line train
60451492,trip_type,wait
60451844,note,Waits at Forest Hills for last Orange Line train
60451844,trip_type,wait
60451970,note,Does not run during school vacation
60451970,trip_type,supplemental
60451971,note,Does not run during school vacation
60451971,trip_type,supplemental
60451972,note,Does not run during school vacation
60451972,trip_type,supplemental
60451973,note,Does not run during school vacation
60451973,trip_type,supplemental
60451974,note,Does not run during school vacation
60451974,trip_type,supplemental
60451975,note,Does not run during school vacation
60451975,trip_type,supplemental
60451976,note,Does not run during school vacation
60451976,trip_type,supplemental
60451977,note,Does not run during school vacation
60451977,trip_type,supplemental
60451978,note,Does not run during school vacation
60451978,trip_type,supplemental
60451979,note,Does not run during school vacation
60451979,trip_type,supplemental
60451981,note,Does not run during school vacation
60451981,trip_type,supplemental
60451982,note,Does not run during school vacation
60451982,trip_type,supplemental
60451985,note,Does not run during school vacation
60451985,trip_type,supplemental
60451987,note,Does not run during school vacation
60451987,trip_type,supplemental
60451990,note,Does not run during school vacation
60451990,trip_type,supplemental
60451991,note,Does not run during school vacation
60451991,trip_type,supplemental
60451992,note,Does not run during school vacation
60451992,trip_type,supplemental
60451993,note,Does not run during school vacation
60451993,trip_type,supplemental
60451998,note,Does not run during school vacation
60451998,trip_type,supplemental
60451999,note,Does not run during school vacation
60451999,trip_type,supplemental
60452000,note,Does not run during school vacation
60452000,trip_type,supplemental
60452002,note,Does not run during school vacation
60452002,trip_type,supplemental
60452094,note,Waits at Forest Hills for last Orange Line train
60452094,trip_type,wait
60455653,note,Waits at Downtown Crossing for last Red Line train
60455653,trip_type,wait
60455654,note,Waits at State for last Blue Line train
60455654,note,Waits at Downtown Crossing for last Red Line train
60455654,trip_type,wait
60467745,note,Waits at Maverick for last Blue Line train
60467745,trip_type,wait
60467816,note,Does not run during school vacation
60467816,trip_type,supplemental
60467817,note,Does not run during school vacation
60467817,trip_type,supplemental
60467818,note,Does not run during school vacation
60467818,trip_type,supplemental
60467819,note,Does not run during school vacation
60467819,trip_type,supplemental
60467820,note,Does not run during school vacation
60467820,trip_type,supplemental
60467821,note,Does not run during school vacation
60467821,trip_type,supplemental
60467822,note,Does not run during school vacation
60467822,trip_type,supplemental
60467823,note,Does not run during school vacation
60467823,trip_type,supplemental
60467824,note,Does not run during school vacation
60467824,trip_type,supplemental
60467825,note,Does not run during school vacation
60467825,trip_type,supplemental
60467826,note,Does not run during school vacation
60467826,trip_type,supplemental
60467827,note,Does not run during school vacation
60467827,trip_type,supplemental
60467828,note,Does not run during school vacation
60467828,trip_type,supplemental
60467829,note,Does not run during school vacation
60467829,trip_type,supplemental
60467830,note,Does not run during school vacation
60467830,trip_type,supplemental
60467831,note,Does not run during school vacation
60467831,trip_type,supplemental
60467832,note,Does not run during school vacation
60467832,trip_type,supplemental
60467833,note,Does not run during school vacation
60467833,trip_type,supplemental
60467911,note,Does not run during school vacation
60467911,trip_type,supplemental
60468037,note,Does not run during school vacation
60468037,trip_type,supplemental
60468076,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
60468076,trip_type,wait
60468357,note,Waits at Wonderland for last Blue Line train
60468357,trip_type,wait
60468587,note,Does not run during school vacation
60468587,trip_type,supplemental
60468598,note,Waits at Maverick for last Blue Line train
60468598,trip_type,wait
60468871,note,Waits at Maverick for last Blue Line train
60468871,trip_type,wait
60469049,note,Waits at Wonderland for last Blue Line train
60469049,trip_type,wait
60469059,note,Waits at Maverick for last Blue Line train
60469059,trip_type,wait
60469300,note,Waits at Maverick for last Blue Line train
60469300,trip_type,wait
60469514,note,Waits at Maverick for last Blue Line train
60469514,trip_type,wait
60469665,note,Waits at Wonderland for last Blue Line train
60469665,trip_type,wait
60487448,note,Does not run during school vacation
60487448,trip_type,supplemental
60487500,note,Does not run during school vacation
60487500,trip_type,supplemental
60487516,note,Does not run during school vacation
60487516,trip_type,supplemental
60487528,note,Does not run during school vacation
60487528,trip_type,supplemental
60487530,note,Does not run during school vacation
60487530,trip_type,supplemental
60487531,note,Does not run during school vacation
60487531,trip_type,supplemental
60487532,note,Does not run during school vacation
60487532,trip_type,supplemental
60487533,note,Does not run during school vacation
60487533,trip_type,supplemental
60487551,note,Waits at Quincy Center for last Red Line train
60487551,trip_type,wait
60487993,note,Waits at Fields Corner for last Red Line train
60487993,trip_type,wait
60488058,note,Does not run during school vacation
60488058,trip_type,supplemental
60488252,note,Does not run during school vacation
60488252,trip_type,supplemental
60488253,note,Does not run during school vacation
60488253,trip_type,supplemental
60488255,note,Does not run during school vacation
60488255,trip_type,supplemental
60488256,note,Does not run during school vacation
60488256,trip_type,supplemental
60488745,note,Waits at Quincy Center for last Red Line train
60488745,trip_type,wait
60488747,note,Waits at Fields Corner for last Red Line train
60488747,trip_type,wait
60489169,note,Waits at Fields Corner for last Red Line train
60489169,trip_type,wait
60489264,note,Waits at Quincy Center for last Red Line train
60489264,trip_type,wait
60503117,note,Waits at Orient Heights for last Blue Line train
60503117,trip_type,wait
60503449,note,Waits at Orient Heights for last Blue Line train
60503449,trip_type,wait
60503450,note,Will go to Point Shirley if requested
60503669,note,Waits at Orient Heights for last Blue Line train
60503669,trip_type,wait
60564061,note,Waits at Park Street for last Red Line and Green Line trains
60564061,trip_type,wait
60564121,note,Waits at Park Street for last Red Line and Green Line trains
60564121,trip_type,wait
60565134,note,Waits at Park Street for last Red Line and Green Line trains
60565134,trip_type,wait
60565141,note,Waits at Park Street for last Red Line and Green Line trains
60565141,trip_type,wait
60565142,note,Waits at Park Street for last Red Line and Green Line trains
60565142,trip_type,wait
60565143,note,Waits at Park Street for last Red Line and Green Line trains
60565143,trip_type,wait
60570845,note,Waits at some downtown stations for connections
60570845,trip_type,wait
60571221,note,Waits at some downtown stations for connections
60571221,trip_type,wait
60572438,note,Waits at Park Street for last Red Line and Green Line trains
60572438,trip_type,wait
60572440,note,Waits at some downtown stations for connections
60572440,trip_type,wait
60572441,note,Waits at some downtown stations for connections
60572441,trip_type,wait
60572443,note,Waits at some downtown stations for connections
60572443,trip_type,wait
60965377,note,Waits at some downtown stations for connections
60965377,trip_type,wait
60965396,note,Waits at some downtown stations for connections
60965396,trip_type,wait
60970897,note,Waits at some downtown stations for connections
60970897,trip_type,wait
60970982,note,Waits at some downtown stations for connections
60970982,trip_type,wait
61170746,note,Waits at some downtown stations for connections
61170746,trip_type,wait
61170799,note,Waits at some downtown stations for connections
61170799,trip_type,wait
61187351,note,Waits at some downtown stations for connections
61187351,trip_type,wait
61187358,note,Waits at some downtown stations for connections
61187358,trip_type,wait
61187731,note,Waits at State for last Blue Line train
61187731,note,Waits at Downtown Crossing for last Red Line train
61187731,trip_type,wait
61187732,note,Waits at Downtown Crossing for last Red Line train
61187732,trip_type,wait
61187843,note,Waits at State for last Blue Line train
61187843,note,Waits at Downtown Crossing for last Red Line train
61187843,trip_type,wait
61187925,note,Waits at Downtown Crossing for last Red Line train
61187925,trip_type,wait
61319116,note,Waits at some downtown stations for connections
61319116,trip_type,wait
61319159,note,Waits at some downtown stations for connections
61319159,trip_type,wait
61338647,note,Waits at some downtown stations for connections
61338647,trip_type,wait
61338700,note,Waits at some downtown stations for connections
61338700,trip_type,wait
61338972,note,Waits at State for last Blue Line train
61338972,note,Waits at Downtown Crossing for last Red Line train
61338972,trip_type,wait
61339054,note,Waits at Downtown Crossing for last Red Line train
61339054,trip_type,wait
61347952,note,Waits at Ruggles for last Orange Line train
61347952,trip_type,wait
61347978,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
61347978,trip_type,wait
61348089,note,Waits at W Broadway @ Broadway Station for last Red Line train
61348089,trip_type,wait
61348298,note,Waits at W Broadway @ Broadway Station for last Red Line train
61348298,trip_type,wait
61348332,note,Waits at Ruggles for last Orange Line train
61348332,trip_type,wait
61348404,note,Waits at Green St @ Magazine St for last Red Line train
61348404,trip_type,wait
61348411,note,Waits at Ruggles for last Orange Line train
61348411,trip_type,wait
61348547,note,Waits at Boylston St @ Dartmouth St for last Green Line train
61348547,trip_type,wait
61348618,note,Waits at Kenmore for last Green Line train
61348618,trip_type,wait
61348809,note,Waits at Ashmont for last Red Line train
61348809,trip_type,wait
61348867,note,Waits at Ruggles for last Orange Line train
61348867,trip_type,wait
61348940,note,Waits at Andrew for last Red Line train
61348940,trip_type,wait
61348941,note,Waits at Forest Hills for last Orange Line train
61348941,trip_type,wait
61349051,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
61349051,trip_type,wait
61349080,note,Waits at Nubian for last Silver Line bus
61349080,trip_type,wait
61349349,note,Waits at Nubian for last Silver Line bus
61349349,trip_type,wait
61349445,note,Waits at Massachusetts Ave @ Holyoke St for last Red Line train
61349445,trip_type,wait
61391013,note,Does not run during school vacation
61391013,trip_type,supplemental
61391070,note,Does not run during school vacation
61391070,trip_type,supplemental
61391172,note,Waits at Ashmont for last Red Line train
61391172,trip_type,wait
61391216,note,Waits at W Broadway @ Broadway Station for last Red Line train
61391216,trip_type,wait
61391303,note,Does not run during school vacation
61391303,trip_type,supplemental
61391304,note,Does not run during school vacation
61391304,trip_type,supplemental
61391305,note,Does not run during school vacation
61391305,trip_type,supplemental
61391369,note,Waits at Green St @ Magazine St for last Red Line train
61391369,trip_type,wait
61391442,note,Waits at W Broadway @ Broadway Station for last Red Line train
61391442,trip_type,wait
61391459,note,Does not run during school vacation
61391459,trip_type,supplemental
61391657,note,Does not run during school vacation
61391657,trip_type,supplemental
61391659,note,Does not run during school vacation
61391659,trip_type,supplemental
61391662,note,Does not run during school vacation
61391662,trip_type,supplemental
61391664,note,Does not run during school vacation
61391664,trip_type,supplemental
61391666,note,Does not run during school vacation
61391666,trip_type,supplemental
61391668,note,Does not run during school vacation
61391668,trip_type,supplemental
61391670,note,Does not run during school vacation
61391670,trip_type,supplemental
61391672,note,Does not run during school vacation
61391672,trip_type,supplemental
61391675,note,Does not run during school vacation
61391675,trip_type,supplemental
61391749,note,Does not run during school vacation
61391749,trip_type,supplemental
61391850,note,Waits at Nubian for last Silver Line bus
61391850,trip_type,wait
61391851,note,Waits at Nubian for last Silver Line bus
